center.name,lat,lng
Tucson,32.241,-110.938
Patagonia,31.543879,-110.748517
Chiracahuas,31.759155,-109.757098
Pinetop,34.117293358437,-109.938650129225
Sheep Crossing,33.9608469598832,-109.503210145276
Corvallis,44.558900698488,-123.251628858249
Newport,44.637504435298,-124.06116340826
Finley,44.410228719538,-123.336190520384
Siuslaw,44.3902047427741,-123.848515912695
Carson City,39.1606143725743,-119.738085571288
